UF,Municipio,PIB,Populacao
MG,Capetinga,  207.280 ,  38.321 
MG,Capim Branco,  123.379 ,  6.860 
MG,Capinópolis,  666.601 ,  9.896 
MG,Capitão Andrade,  60.813 ,  16.294 
MG,Capitão Enéas,  501.518 ,  5.559 
MG,Capitólio,  328.449 ,  15.388 
MG,Caputira,  143.751 ,  8.693 
MG,Caraí,  210.428 ,  9.318 
MG,Caranaíba,  41.483 ,  23.872 
MG,Carandaí,  751.899 ,  3.150 
MG,Carangola,  639.260 ,  25.831 
MG,Caratinga,  2.283.288 ,  33.022 
MG,Carbonita,  220.682 ,  93.124 
MG,Careaçu,  174.197 ,  9.423 
MG,Carlos Chagas,  474.792 ,  6.826 
MG,Carmésia,  39.788 ,  18.516 
MG,Carmo da Cachoeira,  321.643 ,  2.660 
MG,Carmo da Mata,  265.730 ,  12.193 
MG,Carmo de Minas,  290.443 ,  11.546 
MG,Carmo do Cajuru,  629.040 ,  15.031 
MG,Carmo do Paranaíba,  1.060.224 ,  22.900 
MG,Carmo do Rio Claro,  694.617 ,  30.339 
MG,Carmópolis de Minas,  461.604 ,  21.310 
MG,Carneirinho,  407.481 ,  19.756 
MG,Carrancas,  177.651 ,  10.103 
MG,Carvalhópolis,  71.387 ,  4.052 
MG,Carvalhos,  80.638 ,  3.614 
MG,Casa Grande,  69.241 ,  4.445 
MG,Cascalho Rico,  80.004 ,  2.251 
MG,Cássia,  436.435 ,  3.108 
MG,Conceição da Barra de Minas,  68.733 ,  17.741 
MG,Cataguases,  1.651.609 ,  75.942 
MG,Catas Altas,  5.032.358 ,  5.465 
MG,Catas Altas da Noruega,  40.793 ,  3.665 
MG,Catuji,  83.289 ,  6.206 
MG,Catuti,  56.844 ,  4.944 
MG,Caxambu,  371.035 ,  21.566 
MG,Cedro do Abaeté,  22.406 ,  1.150 
MG,Central de Minas,  87.071 ,  7.059 
MG,Centralina,  351.070 ,  10.343 
MG,Chácara,  47.151 ,  3.216 
MG,Chalé,  114.181 ,  5.695 
MG,Chapada do Norte,  111.127 ,  15.334 
MG,Chapada Gaúcha,  403.118 ,  14.217 
MG,Chiador,  37.253 ,  2.657 
MG,Cipotânea,  73.306 ,  6.811 
MG,Claraval,  182.017 ,  4.873 
MG,Claro dos Poções,  83.730 ,  7.478 
MG,Cláudio,  1.118.680 ,  29.093 
MG,Coimbra,  139.845 ,  7.631 
MG,Coluna,  121.196 ,  8.810 
MG,Comendador Gomes,  154.809 ,  3.128 
MG,Comercinho,  68.129 ,  6.624 
MG,Conceição da Aparecida,  274.177 ,  10.351 
MG,Conceição das Pedras,  61.043 ,  3.939 
MG,Conceição das Alagoas,  1.318.367 ,  28.782 
MG,Conceição de Ipanema,  81.016 ,  2.814 
MG,Conceição do Mato Dentro,  9.051.036 ,  4.581 
MG,Conceição do Pará,  494.122 ,  17.438 
MG,Conceição do Rio Verde,  343.578 ,  5.558 
MG,Conceição dos Ouros,  225.127 ,  13.729 
MG,Cônego Marinho,  63.480 ,  11.852 
MG,Confins,  485.732 ,  7.730 
MG,Congonhal,  220.411 ,  6.867 
MG,Congonhas,  4.115.644 ,  12.209 
MG,Congonhas do Norte,  49.300 ,  55.836 
MG,Conquista,  490.137 ,  5.047 
MG,Conselheiro Lafaiete,  3.118.549 ,  6.997 
MG,Conselheiro Pena,  383.878 ,  130.584 
MG,Consolação,  31.451 ,  22.975 
MG,Contagem,  36.479.765 ,  1.786 
MG,Coqueiral,  234.166 ,  673.849 
MG,Coração de Jesus,  272.891 ,  9.099 
MG,Cordisburgo,  146.187 ,  26.620 
MG,Cordislândia,  113.770 ,  8.903 
MG,Corinto,  612.295 ,  3.546 
MG,Coroaci,  125.593 ,  23.607 
MG,Coromandel,  1.535.205 ,  9.897 
MG,Coronel Fabriciano,  1.996.019 ,  27.958 
MG,Coronel Murta,  119.865 ,  110.709 
MG,Coronel Pacheco,  60.102 ,  9.209 
MG,Coronel Xavier Chaves,  90.916 ,  3.095 
MG,Córrego Danta,  165.603 ,  3.448 
MG,Córrego do Bom Jesus,  45.638 ,  3.168 
MG,Córrego Fundo,  320.637 ,  3.685 
MG,Córrego Novo,  38.526 ,  6.425 
MG,Couto de Magalhães de Minas,  63.270 ,  2.688 
MG,Crisólita,  76.419 ,  4.436 
MG,Cristais,  295.530 ,  6.814 
MG,Cristália,  59.171 ,  13.060 
MG,Cristiano Otoni,  123.694 ,  5.992 
MG,Cristina,  233.896 ,  5.161 
MG,Crucilândia,  83.098 ,  10.211 
MG,Cruzeiro da Fortaleza,  184.043 ,  5.072 
MG,Cruzília,  317.748 ,  3.651 
MG,Cuparaque,  74.054 ,  15.529 
MG,Curral de Dentro,  80.453 ,  5.026 
MG,Curvelo,  2.230.617 ,  7.867 
MG,Datas,  73.964 ,  81.085 
MG,Delfim Moreira,  125.715 ,  5.431 
MG,Delfinópolis,  247.245 ,  8.007 
MG,Delta,  466.767 ,  7.146 
MG,Descoberto,  81.745 ,  10.994 
MG,Desterro de Entre Rios,  261.204 ,  5.044 
MG,Desterro do Melo,  50.625 ,  7.266 
MG,Diamantina,  984.259 ,  2.867 
MG,Diogo de Vasconcelos,  42.942 ,  47.924 
MG,Dionísio,  90.883 ,  3.779 
MG,Divinésia,  63.715 ,  7.493 
MG,Divino,  319.462 ,  3.430 
MG,Divino das Laranjeiras,  61.695 ,  20.020 
MG,Divinolândia de Minas,  82.295 ,  4.969 
MG,Divinópolis,  8.331.346 ,  7.655 
MG,Divisa Alegre,  178.208 ,  242.505 
MG,Divisa Nova,  129.555 ,  6.946 
MG,Divisópolis,  93.202 ,  6.039 
MG,Dom Bosco,  69.302 ,  11.396 
MG,Dom Cavati,  69.648 ,  3.635 
MG,Dom Joaquim,  67.823 ,  5.025 
MG,Dom Silvério,  107.932 ,  4.436 
MG,Dom Viçoso,  39.052 ,  5.227 
MG,Dona Euzébia,  109.905 ,  2.992 
MG,Dores de Campos,  320.215 ,  6.664 
MG,Dores de Guanhães,  190.683 ,  10.291 
MG,Dores do Indaiá,  352.232 ,  5.139 
MG,Dores do Turvo,  66.847 ,  13.373 
MG,Doresópolis,  84.134 ,  4.202 
MG,Douradoquara,  79.333 ,  1.539 
MG,Durandé,  122.893 ,  1.915 
MG,Elói Mendes,  705.930 ,  7.898 
MG,Engenheiro Caldas,  157.033 ,  28.556 
MG,Engenheiro Navarro,  92.061 ,  11.268 
MG,Entre Folhas,  64.926 ,  7.240 
MG,Entre Rios de Minas,  270.226 ,  5.383 
MG,Ervália,  409.477 ,  15.458 
MG,Esmeraldas,  973.105 ,  19.019 
MG,Espera Feliz,  411.020 ,  72.512 
MG,Espinosa,  363.982 ,  25.287 
MG,Espírito Santo do Dourado,  122.239 ,  31.603 
MG,Estiva,  601.894 ,  4.728 
MG,Estrela Dalva,  42.898 ,  11.416 
MG,Estrela do Indaiá,  165.292 ,  2.308 
MG,Estrela do Sul,  351.924 ,  3.483 
MG,Eugenópolis,  221.830 ,  8.057 
MG,Ewbank da Câmara,  54.364 ,  11.383 
MG,Extrema,  13.651.225 ,  3.932 
MG,Fama,  58.635 ,  37.649 
MG,Faria Lemos,  64.378 ,  2.374 
MG,Felício dos Santos,  73.739 ,  3.202 
MG,São Gonçalo do Rio Preto,  48.754 ,  4.656 
MG,Felisburgo,  75.707 ,  7.548 
MG,Felixlândia,  281.155 ,  15.528 
MG,Fernandes Tourinho,  45.856 ,  3.500 
MG,Ferros,  147.924 ,  9.576 
MG,Fervedouro,  156.889 ,  11.100 
MG,Florestal,  142.809 ,  7.602 
MG,Formiga,  2.214.110 ,  67.956 
MG,Formoso,  314.917 ,  9.810 
MG,Fortaleza de Minas,  111.306 ,  4.460 
MG,Fortuna de Minas,  51.272 ,  2.986 
MG,Francisco Badaró,  77.814 ,  10.311 
MG,Francisco Dumont,  75.609 ,  5.268 
MG,Francisco Sá,  451.860 ,  26.459 
MG,Franciscópolis,  102.828 ,  5.287 
MG,Frei Gaspar,  80.106 ,  5.858 
MG,Frei Inocêncio,  150.490 ,  9.716 
MG,Frei Lagonegro,  35.559 ,  3.496 
MG,Fronteira,  935.152 ,  18.866 
MG,Fronteira dos Vales,  48.953 ,  4.542 
MG,Fruta de Leite,  47.086 ,  5.232 
MG,Frutal,  2.473.118 ,  60.508 
MG,Funilândia,  83.333 ,  4.434 
MG,Galiléia,  113.734 ,  6.764 
MG,Gameleiras,  57.339 ,  5.084 
MG,Glaucilândia,  41.129 ,  3.177 
MG,Goiabeira,  49.908 ,  3.402 
MG,Goianá,  62.270 ,  4.014 
MG,Gonçalves,  94.285 ,  4.360 
MG,Gonzaga,  68.973 ,  6.184 
MG,Gouveia,  198.923 ,  11.811 
MG,Governador Valadares,  7.382.837 ,  282.164 
MG,Grão Mogol,  770.889 ,  15.943 
MG,Grupiara,  44.200 ,  1.386 
MG,Guanhães,  996.965 ,  34.818 
MG,Guapé,  390.784 ,  14.269 
MG,Guaraciaba,  115.228 ,  10.307 
MG,Guaraciama,  78.027 ,  5.005 
MG,Guaranésia,  549.336 ,  19.014 
MG,Guarani,  173.714 ,  8.926 
MG,Guarará,  57.636 ,  3.755 
MG,Guarda-Mor,  750.723 ,  6.558 
MG,Guaxupé,  2.806.366 ,  52.234 
MG,Guidoval,  123.659 ,  7.026 
MG,Guimarânia,  327.236 ,  8.168 
MG,Guiricema,  114.431 ,  8.296 
MG,Gurinhatã,  180.809 ,  5.516 
MG,Heliodora,  133.454 ,  6.623 
MG,Iapu,  176.419 ,  11.085 
MG,Ibertioga,  103.561 ,  4.999 
MG,Ibiá,  1.534.749 ,  25.511 
MG,Ibiaí,  114.963 ,  8.478 
MG,Ibiracatu,  51.265 ,  5.340 
